ticker,cik,filing_date,10k_link,long_term_outlook
FE,1031296,2012-02-28,https://www.sec.gov/Archives/edgar/data/1031296/000103129612000012/0001031296-12-000012.txt,0
CL,21665,2015-02-19,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/0001628280-15-000846.txt,0
PRU,1137774,2016-02-19,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/0001137774-16-000226.txt,1
EBAY,1065088,2001-03-28,https://www.sec.gov/Archives/edgar/data/1065088/000109581101001836/0001095811-01-001836.txt,1
CAM,941548,2005-02-25,https://www.sec.gov/Archives/edgar/data/941548/000095012905001646/0000950129-05-001646.txt,1
PNR,77360,2015-02-24,https://www.sec.gov/Archives/edgar/data/77360/000007736015000007/0000077360-15-000007.txt,0
CL,21665,1997-03-18,https://www.sec.gov/Archives/edgar/data/21665/0000940180-97-000241.txt,1
CMS,811156,2002-03-29,https://www.sec.gov/Archives/edgar/data/811156/000095012402001143/0000950124-02-001143.txt,0
HRB,12659,2008-06-30,https://www.sec.gov/Archives/edgar/data/12659/000095013408012051/0000950134-08-012051.txt,1
TMK,320335,2000-03-23,https://www.sec.gov/Archives/edgar/data/320335/0000931763-00-000595.txt,1
KR,56873,1999-03-26,https://www.sec.gov/Archives/edgar/data/56873/0000950152-99-002475.txt,0
APA,6769,1999-03-25,https://www.sec.gov/Archives/edgar/data/6769/0000950129-99-001119.txt,1
MOS,1285785,2015-02-17,https://www.sec.gov/Archives/edgar/data/1285785/000161803415000005/0001618034-15-000005.txt,0
XRAY,818479,2000-03-30,https://www.sec.gov/Archives/edgar/data/818479/0000818479-00-000004.txt,1
PXD,1038357,2012-02-29,https://www.sec.gov/Archives/edgar/data/1038357/000119312512088998/0001193125-12-088998.txt,1
AMZN,1018724,2008-02-11,https://www.sec.gov/Archives/edgar/data/1018724/000119312508024707/0001193125-08-024707.txt,0
CVX,93410,2005-03-03,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/0000950134-05-004137.txt,1
UNP,100885,2015-02-06,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/0001193125-15-037518.txt,0
LMT,936468,2009-02-26,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/0001193125-09-038670.txt,0
AZO,866787,1996-11-27,https://www.sec.gov/Archives/edgar/data/866787/0000950144-96-008757.txt,0
UTX,101829,1998-02-17,https://www.sec.gov/Archives/edgar/data/101829/0000101829-98-000007.txt,1
QCOM,804328,2008-11-06,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707.txt,0
WY,106535,2012-02-22,https://www.sec.gov/Archives/edgar/data/106535/000010653512000016/0000106535-12-000016.txt,1
VNO,899689,2010-02-23,https://www.sec.gov/Archives/edgar/data/899689/000089968910000004/0000899689-10-000004.txt,1
FISV,798354,2005-02-25,https://www.sec.gov/Archives/edgar/data/798354/000119312505037404/0001193125-05-037404.txt,1
CMS,811156,1995-03-15,https://www.sec.gov/Archives/edgar/data/811156/0000201533-95-000029.txt,1
